epoch,train-rmse-E,train-rmse-F,train-loss,test-rmse-E,test-rmse-F,test-loss
0.0,2.644945,3.476514,2.864323,2.719566,3.365112,2.920348
1.0,2.644945,3.476514,2.864323,2.719566,3.365112,2.920348
2.0,2.016676,5.997234,2.768332,1.915315,5.575469,2.60327
3.0,0.7510872,2.058404,0.9938987,0.7243136,2.000361,0.961652
4.0,0.6689969,1.836763,0.8859609,0.6461808,1.801875,0.8615248
5.0,0.4368128,1.271674,0.5937346,0.4146979,1.269348,0.5771471
6.0,0.341237,0.939391,0.4524248,0.3234142,0.9204663,0.4351121
7.0,0.2113429,0.7599934,0.3200388,0.1975478,0.7321242,0.3043447
8.0,0.1453637,0.7305403,0.272946,0.1503507,0.708417,0.2697977
9.0,0.1032623,0.7097609,0.247061,0.101031,0.6806506,0.2377725
10.0,0.09477508,0.6824841,0.2357133,0.09239132,0.6536568,0.2264131
11.0,0.08104594,0.6045453,0.2076438,0.07955747,0.5823339,0.2006008
12.0,0.07202525,0.5201694,0.1795696,0.07259267,0.5030801,0.1748675
13.0,0.09439264,0.4927771,0.1821892,0.1001379,0.4839696,0.1828941
14.0,0.07147654,0.4821908,0.1684034,0.07422496,0.4686646,0.1657528
15.0,0.06469297,0.4454311,0.1550034,0.06796151,0.4318633,0.152543
16.0,0.06530636,0.4236765,0.1490473,0.06867175,0.4099351,0.1466986
17.0,0.06232775,0.3989503,0.1407156,0.06172098,0.3861798,0.1368319
18.0,0.05625741,0.3794387,0.1325227,0.05745417,0.3710873,0.1306582
19.0,0.05222052,0.3709669,0.128408,0.05236298,0.3642635,0.1265333
20.0,0.04686961,0.3494946,0.1200475,0.04753152,0.3399907,0.1175526
21.0,0.04850998,0.3298202,0.1150276,0.04880301,0.3195364,0.1122145
22.0,0.04035567,0.3170443,0.1080754,0.04395341,0.3035663,0.1055801
23.0,0.04086007,0.3054736,0.1048854,0.04561877,0.2909121,0.1026843
24.0,0.04129188,0.2905172,0.1007226,0.04715312,0.2754641,0.09905283
25.0,0.03884778,0.2667715,0.09287547,0.04578504,0.2517122,0.09182687
26.0,0.03451054,0.2439944,0.08452398,0.03817236,0.2299992,0.08214068
27.0,0.03100997,0.2377448,0.08132575,0.0355747,0.2227799,0.07892177
28.0,0.03006907,0.2361534,0.08050462,0.03422363,0.2213865,0.07792596
29.0,0.02920829,0.2337975,0.07949371,0.03255755,0.2196196,0.07670248
30.0,0.02838079,0.2308003,0.07830932,0.03118008,0.2172634,0.0754489
31.0,0.0274453,0.2249162,0.07623631,0.02957396,0.2124967,0.07341733
32.0,0.03334702,0.2199425,0.07713295,0.03373396,0.210117,0.07451776
33.0,0.02774702,0.2210233,0.07519991,0.02903598,0.2097304,0.07240009
34.0,0.0262682,0.21639,0.0732972,0.0273035,0.2057817,0.07056977
35.0,0.02557978,0.212062,0.07177293,0.02685992,0.2022351,0.06936396
36.0,0.02564758,0.2088697,0.07085516,0.0269012,0.1996088,0.06861517
37.0,0.02570864,0.2040333,0.06945424,0.02709871,0.1953562,0.06745922
38.0,0.02498067,0.1975158,0.06727022,0.02553647,0.1887494,0.06492106
39.0,0.02373982,0.1911811,0.06495076,0.02414188,0.1820927,0.06243881
40.0,0.02155727,0.1865965,0.06282151,0.02138825,0.1753901,0.05944431
41.0,0.02673423,0.1824768,0.06359635,0.02911399,0.1697337,0.06106208
