epoch,train-rmse-E,train-rmse-F,train-loss,test-rmse-E,test-rmse-F,test-loss
0.0,0.7661445,1.500694,0.9012134,0.7921027,1.456557,0.9162874
1.0,0.7661445,1.500694,0.9012134,0.7921027,1.456557,0.9162874
2.0,0.6675764,1.508186,0.8204393,0.6793186,1.452013,0.8199439
3.0,0.5338798,1.344247,0.6824425,0.5444591,1.286224,0.6796123
4.0,0.4822842,1.274567,0.6285301,0.4900222,1.214806,0.6226533
5.0,0.3486628,1.17605,0.5097795,0.3512709,1.11944,0.4987042
6.0,0.2656392,1.14648,0.4494506,0.2615434,1.091191,0.4329835
7.0,0.2617397,1.094693,0.433985,0.2573012,1.036837,0.4167818
8.0,0.2484709,1.072025,0.4203112,0.2447587,1.015033,0.4036533
9.0,0.1970909,0.9711201,0.3649003,0.1977976,0.9179155,0.351256
10.0,0.2535947,0.9424055,0.3913094,0.2606824,0.8858241,0.3826536
11.0,0.1849712,0.9535088,0.3537404,0.1881021,0.8988363,0.3408417
12.0,0.1812326,0.9473875,0.3501422,0.1839505,0.8919489,0.3367418
13.0,0.1737368,0.9224377,0.3395197,0.1755787,0.8657324,0.325234
14.0,0.1672719,0.891946,0.3279278,0.1694931,0.8356045,0.313929
15.0,0.1561862,0.850429,0.3109937,0.1602961,0.7971101,0.2987194
16.0,0.1450461,0.8005486,0.2917639,0.1470884,0.7514782,0.2794762
17.0,0.1333056,0.7864172,0.2821623,0.1368086,0.7402221,0.2711263
18.0,0.1294081,0.7700624,0.2757645,0.1333388,0.7239784,0.2649409
19.0,0.1247439,0.7499777,0.2679696,0.1282224,0.7048895,0.2571535
20.0,0.1213694,0.7238752,0.2590947,0.1247752,0.6811217,0.2489207
21.0,0.1193219,0.7046506,0.2527666,0.1211479,0.6645456,0.2425673
22.0,0.1185883,0.691846,0.2488539,0.1196844,0.6520476,0.2384134
23.0,0.1174801,0.6844645,0.2462737,0.1182086,0.6447032,0.235664
24.0,0.1141179,0.6740925,0.2417911,0.1143565,0.6362269,0.2314214
25.0,0.1082889,0.6546243,0.2336232,0.1091939,0.6189376,0.2241243
26.0,0.1021113,0.6418121,0.2271981,0.1031959,0.6086879,0.2184021
27.0,0.09868591,0.6306175,0.2225011,0.09974893,0.5982367,0.2138657
28.0,0.09690269,0.615434,0.2174075,0.0979333,0.5840943,0.2090635
29.0,0.09423724,0.6055807,0.2134326,0.09586906,0.5753354,0.2056501
30.0,0.09309505,0.5978747,0.2107418,0.09491803,0.5696552,0.2036176
31.0,0.09229499,0.5871868,0.2073577,0.09365132,0.5607252,0.2005289
32.0,0.09209471,0.576372,0.2042104,0.09228502,0.5521259,0.1974863
33.0,0.09192781,0.5715043,0.202762,0.09224274,0.5480906,0.1963391
34.0,0.0913422,0.5665006,0.2010863,0.0918513,0.5449472,0.1952778
35.0,0.09017929,0.5579242,0.198142,0.09079872,0.5373473,0.1926619
36.0,0.0921549,0.5564472,0.198635,0.09139692,0.5378121,0.193074
37.0,0.08939955,0.5515783,0.1960004,0.08941666,0.5337158,0.1909989
38.0,0.08726213,0.5448571,0.1931362,0.08714775,0.5272218,0.188125
39.0,0.08622721,0.5400213,0.1913046,0.08593865,0.5226296,0.1862783
40.0,0.08507592,0.5317574,0.1884529,0.08419766,0.5144631,0.1831843
41.0,0.08487739,0.5203325,0.1851452,0.0832118,0.5023861,0.1793415
42.0,0.08232082,0.5168353,0.1829989,0.08039407,0.4986957,0.1770111
43.0,0.082646,0.5105069,0.1813618,0.08087837,0.4933867,0.1757395
44.0,0.08140087,0.5080855,0.1801144,0.08001898,0.4918179,0.1749043
45.0,0.08002778,0.5070977,0.1792185,0.07900568,0.4920198,0.1745
46.0,0.07888206,0.502085,0.1772888,0.07827487,0.4892411,0.1733858
47.0,0.07647939,0.4961934,0.1745563,0.07724294,0.4869708,0.1722804
48.0,0.07527165,0.4878361,0.1716515,0.0766577,0.4809181,0.1703074
49.0,0.07496521,0.4804243,0.1694123,0.07613003,0.4748266,0.1683503
50.0,0.07478842,0.4755675,0.1679576,0.07599998,0.4697139,0.1668506
51.0,0.07409672,0.4731734,0.1669719,0.07466567,0.4671251,0.165516
52.0,0.07309873,0.4707009,0.1658293,0.0732815,0.4647328,0.1642189
53.0,0.07219621,0.4663091,0.164185,0.07230879,0.4606187,0.1626208
54.0,0.07103766,0.4629087,0.1627108,0.07148026,0.4572563,0.1613002
55.0,0.07043345,0.461201,0.1619614,0.07117221,0.4556231,0.1607007
56.0,0.06966971,0.45914,0.1610429,0.07082027,0.4537096,0.1600023
57.0,0.0686412,0.4555175,0.1595658,0.07007006,0.450321,0.1587095
58.0,0.06770047,0.4494749,0.1574361,0.06946627,0.4439147,0.1566256
59.0,0.067026,0.4456431,0.1560521,0.06831537,0.4397671,0.1549403
60.0,0.0671497,0.4423936,0.1551783,0.06856539,0.4365301,0.1541333
61.0,0.06714981,0.439285,0.1542927,0.0686296,0.4330893,0.1531883
62.0,0.06704266,0.4353829,0.1531357,0.06876483,0.4285897,0.1519787
63.0,0.0679005,0.4320053,0.152556,0.07055984,0.4248379,0.1517479
64.0,0.06653603,0.4310514,0.1516825,0.06904091,0.4235979,0.1506989
65.0,0.06620941,0.4302702,0.1513173,0.06883031,0.4227025,0.1503508
66.0,0.06595233,0.4293104,0.150932,0.06881676,0.4215952,0.1500333
67.0,0.0658724,0.4263924,0.1500674,0.06928531,0.4184095,0.1493556
68.0,0.06470957,0.4248027,0.1491076,0.06880384,0.4160269,0.1484648
69.0,0.06439381,0.4230047,0.1484583,0.06846883,0.4143966,0.1478527
70.0,0.06432279,0.4206908,0.1477684,0.06824863,0.4121007,0.1471074
71.0,0.06423003,0.4187207,0.1471672,0.06805045,0.4097578,0.1463592
72.0,0.06459747,0.4163868,0.146665,0.06832086,0.4061513,0.1454772
73.0,0.06326708,0.4149304,0.145669,0.06695768,0.4051912,0.1445729
74.0,0.06301506,0.413936,0.1452763,0.06680578,0.4045761,0.1443302
75.0,0.06262535,0.4124829,0.1446933,0.06653349,0.4036815,0.1439534
76.0,0.06231408,0.4104634,0.1439829,0.06648964,0.4021018,0.1434903
77.0,0.06217915,0.4089582,0.1434954,0.06625986,0.4009679,0.143066
78.0,0.06164747,0.4073805,0.1428156,0.06580136,0.3992884,0.1423831
79.0,0.06145355,0.4060995,0.1423665,0.06557665,0.3978689,0.1418811
80.0,0.06125175,0.4050001,0.1419658,0.06529455,0.3966915,0.1414206
81.0,0.06047523,0.4030684,0.1410803,0.06436811,0.3946243,0.140414
82.0,0.06214246,0.4042779,0.1421469,0.06615166,0.3941122,0.1410974
83.0,0.06006824,0.4021718,0.1406499,0.06409091,0.3931991,0.1398864
84.0,0.05920248,0.4008156,0.1398937,0.06316674,0.3917746,0.1390639
85.0,0.05883577,0.3984993,0.1390749,0.06257026,0.3896855,0.1382046
86.0,0.05947916,0.3973006,0.1390056,0.06358084,0.3882287,0.1382558
87.0,0.05852431,0.3970983,0.1385417,0.06244501,0.3882006,0.1377293
88.0,0.05842397,0.3960273,0.1381923,0.06232592,0.3871503,0.1373792
89.0,0.05841298,0.3953006,0.1379795,0.06232604,0.3864475,0.1371813
90.0,0.05825941,0.3926135,0.1371448,0.06215329,0.3840845,0.1364372
91.0,0.05938789,0.3894636,0.1367301,0.06299739,0.3805628,0.1358362
92.0,0.05847824,0.3884979,0.1360616,0.06223763,0.3800425,0.1353394
93.0,0.05817466,0.387874,0.1357531,0.06202916,0.3793909,0.1350606
94.0,0.05787406,0.3868907,0.1353434,0.06184264,0.3780861,0.1346084
95.0,0.05769263,0.3853369,0.1348217,0.06176127,0.3763057,0.1340711
96.0,0.05714173,0.3833616,0.1340216,0.06125534,0.3736498,0.1330926
97.0,0.05828985,0.3811065,0.1338728,0.0626645,0.3707898,0.1329487
98.0,0.05698681,0.3807123,0.1331979,0.06109907,0.3707849,0.1322166
99.0,0.05665181,0.3803208,0.1329429,0.06064828,0.3705577,0.1319451
100.0,0.05612367,0.3795207,0.1324895,0.05992936,0.3699256,0.1314383
101.0,0.05551569,0.3782861,0.1318789,0.05915376,0.3687335,0.1307502
102.0,0.05791286,0.3771846,0.1325923,0.06180492,0.3679589,0.1317544
103.0,0.05545285,0.377207,0.1315429,0.05918686,0.3677934,0.1305001
104.0,0.05465817,0.3757609,0.1307943,0.05830842,0.3663754,0.1297034
105.0,0.0543703,0.3745431,0.1303241,0.05800987,0.3652813,0.1292601
106.0,0.05434841,0.372841,0.129826,0.0580027,0.3638735,0.1288593
107.0,0.05442797,0.3712208,0.1293943,0.05799469,0.3626413,0.1285078
108.0,0.05662264,0.370346,0.1300836,0.06022363,0.3611609,0.1291147
109.0,0.05462679,0.369807,0.1290729,0.05826763,0.3610944,0.1281953
110.0,0.05434869,0.3687694,0.128658,0.05786682,0.3604888,0.1278428
111.0,0.0540849,0.3683702,0.1284322,0.05758285,0.3601692,0.1276243
112.0,0.05387995,0.3676547,0.1281407,0.0573328,0.3594958,0.1273215
113.0,0.05359008,0.3666804,0.1277394,0.05705118,0.3586806,0.1269646
114.0,0.05353145,0.36538,0.1273415,0.05698132,0.3576641,0.1266461
115.0,0.0535186,0.3639686,0.1269313,0.05693291,0.3565717,0.1263158
116.0,0.05344038,0.3621111,0.1263658,0.05683223,0.3551746,0.1258761
117.0,0.05811634,0.3623553,0.1284821,0.06210013,0.356677,0.1287566
118.0,0.05342502,0.3615208,0.1261902,0.05697245,0.3548088,0.1258364
119.0,0.05324149,0.3603928,0.1257893,0.05677981,0.3537027,0.1254373
120.0,0.05309374,0.3595041,0.1254722,0.05667281,0.3525594,0.1250665
121.0,0.05287481,0.3587781,0.1251715,0.05654627,0.3514728,0.1247028
122.0,0.05256721,0.3572969,0.1246171,0.0563054,0.349449,0.1240232
123.0,0.05296422,0.3563555,0.1245156,0.05671833,0.3474403,0.1236465
124.0,0.05209047,0.355254,0.1238304,0.05580034,0.346389,0.1229317
125.0,0.05209685,0.354404,0.1235892,0.05579975,0.345728,0.1227452
126.0,0.05195925,0.3532406,0.1231976,0.05559091,0.3448494,0.1224029
127.0,0.05274538,0.3516926,0.1230888,0.05631548,0.3438237,0.1224455
128.0,0.05194135,0.3514103,0.1226655,0.05559306,0.3434188,0.122001
129.0,0.05175716,0.3511187,0.122504,0.05547945,0.3431948,0.1218862
130.0,0.05159745,0.3507696,0.1223365,0.05541415,0.343041,0.1218131
131.0,0.05137034,0.3501574,0.1220653,0.05529525,0.3426965,0.121662
132.0,0.0523111,0.3487942,0.1220745,0.05573752,0.3424071,0.1217823
133.0,0.05148546,0.3491521,0.1218256,0.05518372,0.3422165,0.1214762
134.0,0.0511061,0.3481686,0.1213836,0.05493064,0.341346,0.121116
135.0,0.05104811,0.3473253,0.1211173,0.05479467,0.3404482,0.1208013
136.0,0.0510593,0.3464877,0.1208819,0.05463803,0.3394526,0.1204497
137.0,0.05099187,0.3458984,0.1206845,0.05449338,0.3387654,0.1201904
138.0,0.05071293,0.3444202,0.120143,0.05431006,0.337429,0.1197306
139.0,0.05256348,0.3464711,0.1215201,0.05646655,0.340584,0.1216068
140.0,0.05056541,0.3440071,0.1199623,0.05424533,0.3370942,0.1196069
141.0,0.05024307,0.343543,0.1196935,0.05426909,0.3371559,0.1196351
142.0,0.05329708,0.3434713,0.1209869,0.05636534,0.337717,0.1207573
143.0,0.05027494,0.3432162,0.1196132,0.0541473,0.3368821,0.1195026
144.0,0.05008434,0.3430572,0.1194875,0.05416897,0.3370819,0.1195688
145.0,0.04970585,0.342273,0.119104,0.05389885,0.3365344,0.1192922
146.0,0.04932311,0.3409113,0.118553,0.05349162,0.3355751,0.1188378
147.0,0.04909838,0.3400572,0.1182139,0.05299762,0.3346806,0.1183633
148.0,0.04902805,0.3391806,0.1179326,0.05278139,0.3336733,0.1179816
149.0,0.04905349,0.3383385,0.1177011,0.05274571,0.3328558,0.1177345
150.0,0.04905951,0.3373532,0.1174204,0.0527852,0.3319558,0.1174979
151.0,0.04898454,0.3369368,0.1172694,0.05284562,0.3319713,0.1175294
152.0,0.04857609,0.3364255,0.1169523,0.05254348,0.3315233,0.1172672
153.0,0.0483845,0.3361889,0.1168048,0.05245585,0.3314154,0.1171974
154.0,0.04828084,0.3357377,0.116632,0.05248411,0.3313011,0.1171777
155.0,0.04798203,0.3352698,0.1163738,0.05234379,0.3312724,0.1171068
156.0,0.04783956,0.3345648,0.1161119,0.05235224,0.3307597,0.1169656
157.0,0.04764109,0.333865,0.1158286,0.05212626,0.3303131,0.1167382
158.0,0.04765969,0.3333312,0.1156824,0.05213362,0.3300065,0.1166548
159.0,0.04767145,0.3324855,0.1154436,0.05209608,0.329518,0.1164998
160.0,0.04752798,0.3317182,0.1151634,0.0520181,0.3293943,0.11643
161.0,0.04735492,0.3308086,0.11483,0.05177476,0.3289516,0.1161961
